,Model,Cross-Validated F1 (Train),Test F1-Score
8,CatBoost,0.6215640809408477,0.6092367633042673
12,Stacking,0.6236644834490612,0.6090861682767594
9,LightGBM,0.6117807343361382,0.6003099337276115
10,Extra Trees,0.5949908499821731,0.5981765432947528
7,XGBoost,0.6098881016238018,0.5899858077784353
3,Gradient Boosting,0.596311330977573,0.586338010060441
2,Random Forest,0.5918674221905,0.5818846267610532
6,Neural Network,0.5446521526397212,0.5408201097376928
1,Decision Tree,0.4917564524339292,0.4925100244172573
5,K-Nearest Neighbors,0.4539371862222296,0.4684395931534324
11,AdaBoost,0.3965643911110569,0.3569596094468033
4,SVM,0.3452353704192273,0.3437835857326179
0,Logistic Regression,0.32211922210952165,0.32274041265870024
